LT200144133VM|800.0|2020-11-25|01-40-18-1700
LT200144131PG|1000|2020-11-25|01-40-18-1700
LT200144129NN|1000|2020-11-25|01-40-18-1700
LT200144128NL|100.0|2020-11-25|01-40-18-1700
LT200144127NL|700.0|2020-11-25|01-40-18-1700
LT200144126NL|300.0|2020-11-25|01-40-18-1700
LT200144124M4|800.0|2020-11-25|01-40-18-1700
LT200144120FO|600.0|2020-11-25|01-40-18-1700
LT200144119CT|100.0|2020-11-25|01-40-18-1700
LT200144117CJ|100.0|2020-11-25|01-40-18-1700
LT200144115AR|1000|2020-11-25|01-40-18-1700
LT200144114AL|200.0|2020-11-25|01-40-18-1700
LT200144004LT|500.0|2020-11-25|01-40-18-1700
LT200144003LT|500.0|2020-11-25|01-40-18-1700
LT200143973LT|1100.0|2020-11-25|01-40-18-1700
LT200143972LT|600.0|2020-11-25|01-40-18-1700
LT200143971LT|200.0|2020-11-25|01-40-18-1700
LT200143968LT|100.0|2020-11-25|01-40-18-1700
LT200143964LT|500.0|2020-11-25|01-40-18-1700
LT200143963LT|400.0|2020-11-25|01-40-18-1700
LT200143962LT|400.0|2020-11-25|01-40-18-1700
LT200143961LT|100.0|2020-11-25|01-40-18-1700
LT200143960LT|200.0|2020-11-25|01-40-18-1700
LT200143959LT|700.0|2020-11-25|01-40-18-1700
LT200143942LT|500.0|2020-11-25|01-40-18-1700
LT200143742L4|1500.0|2020-11-25|01-40-18-1700
LT200143741L4|200.0|2020-11-25|01-40-18-1700
LT200143712FE|1500.0|2020-11-25|01-40-18-1700
LT200144132RG|700.0|2020-11-25|01-40-18-1700
LT200144121G1|700.0|2020-11-25|01-40-18-1700
LT200143965LT|600.0|2020-11-25|01-40-18-1700
LT200144123L6|700.0|2020-11-25|01-40-18-1700
LT200144118CS|600.0|2020-11-25|01-40-18-1700
LT200143815R151|500.0|2020-11-25|01-40-18-1700
LT200144116BS|1200.0|2020-11-25|01-40-18-1700
LT200144130PE|400.0|2020-11-25|01-40-18-1700
LT200144000M1|600.0|2020-11-25|01-40-18-1700
LT200143859TW|1200.0|2020-11-25|01-40-18-1700
LT200143998LU|1100.0|2020-11-25|01-40-18-1700
LT200143926LT|100.0|2020-11-25|01-40-18-1700
LT200144134VM|1000|2020-11-25|01-40-18-1700
LT200143949LT|100.0|2020-11-25|01-40-18-1700
LT200143847T1|300.0|2020-11-25|01-40-18-1700
LT200144005LT|200.0|2020-11-25|01-40-18-1700
LT200143671BZ01|700.0|2020-11-25|01-40-18-1700
LT200143951LT|400.0|2020-11-25|01-40-18-1700
LT600590412M1|1000|2020-11-25|01-40-18-1700
LT600590401L1|200.0|2020-11-25|01-40-18-1700
LT600590373L1|500.0|2020-11-25|01-40-18-1700
LT600590367T1|700.0|2020-11-25|01-40-18-1700
LT600590345FK|500.0|2020-11-25|01-40-18-1700
LT600590329TP|500.0|2020-11-25|01-40-18-1700
LT600590312SS|700.0|2020-11-25|01-40-18-1700
LT600590303M4|900.0|2020-11-25|01-40-18-1700
LT600590287SS|600.0|2020-11-25|01-40-18-1700
LT600590265FE|100.0|2020-11-25|01-40-18-1700
LT600590231T101|100.0|2020-11-25|01-40-18-1700
LT600590229V0|200.0|2020-11-25|01-40-18-1700
LT600590210TE|800.0|2020-11-25|01-40-18-1700
LT600590206CB|1900.0|2020-11-25|01-40-18-1700
LT600590177E5|1700.0|2020-11-25|01-40-18-1700
LT600590156TY|100.0|2020-11-25|01-40-18-1700
LT600590149BS01|1200.0|2020-11-25|01-40-18-1700
LT600590142V1|300.0|2020-11-25|01-40-18-1700
LT600590137BC|100.0|2020-11-25|01-40-18-1700
LT600590103BD|1300.0|2020-11-25|01-40-18-1700
LT600590099NL|800.0|2020-11-25|01-40-18-1700
LT600590096R5|600.0|2020-11-25|01-40-18-1700
LT600590091BR01|100.0|2020-11-25|01-40-18-1700
LT600590061M7|1000|2020-11-25|01-40-18-1700
LT600590058R4|100.0|2020-11-25|01-40-18-1700
LT600590057AN|100.0|2020-11-25|01-40-18-1700
LT600590049E6|1300.0|2020-11-25|01-40-18-1700
LT600590031E2|200.0|2020-11-25|01-40-18-1700
LT600590017AL|700.0|2020-11-25|01-40-18-1700
LT600590014SA|900.0|2020-11-25|01-40-18-1700
LT600590013KS|900.0|2020-11-25|01-40-18-1700
LT600589993GO|800.0|2020-11-25|01-40-18-1700
LT600589982CK|200.0|2020-11-25|01-40-18-1700
LT600589973E2|1000|2020-11-25|01-40-18-1700
LT600589925VM|900.0|2020-11-25|01-40-18-1700
LT600589919NL|100.0|2020-11-25|01-40-18-1700
LT600589909L4|800.0|2020-11-25|01-40-18-1700
LT600589908V7|1000|2020-11-25|01-40-18-1700
LT600589886TP|1300.0|2020-11-25|01-40-18-1700
LT600589912LT|500.0|2020-11-25|01-40-18-1700
LT600590294E1|900.0|2020-11-25|01-40-18-1700
LT600590078M451|1000|2020-11-25|01-40-18-1700
LT600590015CT|600.0|2020-11-25|01-40-18-1700
LT600589992CT01|100.0|2020-11-25|01-40-18-1700
LT600589976V3|500.0|2020-11-25|01-40-18-1700
LT600591826TY|2000|2020-11-25|01-40-18-1700
